PC1,PC2,PC3
102,63,52
13,52,45
56,53,5
31,43,19
19,77,45
23,67,14
135,66,55
67,70,71
94,38,30
18,47,18
49,74,53
20,64,63
101,38,58
43,64,73
13,31,27
82,-17,51
10,-15,61
93,72,36
41,73,21
40,72,1
139,28,60
17,65,58
115,68,66
4,75,78
127,58,57
16,66,79
90,4,65
127,25,67
16,69,49
13,49,39
17,64,32
22,47,64
81,60,36
23,57,72
23,61,53
13,72,74
12,61,84
40,41,32
24,18,33
72,69,100
-16,-21,70
16,-9,35
-1,32,73
-5,18,80
67,65,60
82,42,78
33,67,23
82,59,33
38,63,77
59,48,72
43,71,52
8,34,44
32,76,60
10,6,98
47,58,26
18,78,45
15,59,75
15,50,62
36,-19,38
111,14,71
79,34,17
25,62,48
17,48,43
52,73,44
97,51,87
53,81,23
66,44,51
93,61,47
48,53,50
55,97,35
14,56,50
19,79,70
19,66,60
89,80,35
95,73,34
17,73,81
65,54,71
90,64,68
42,87,53
12,44,36
28,46,8
32,76,18
16,41,85
66,24,38
64,16,25
46,82,54
22,77,61
35,80,17
65,14,26
103,78,88
14,52,57
46,82,80
26,11,31
31,79,63
50,41,40
94,66,38
57,87,49
21,29,65
14,-4,21
66,80,51
-9,45,78
3,4,48
80,28,29
12,70,75
23,42,82
37,61,49
44,78,40
28,58,54
49,65,50
-1,54,73
21,37,16
100,42,65
17,70,69
57,-9,35
59,12,37
48,45,11
43,24,9
33,66,63
38,28,20
19,36,57
97,68,14
12,54,73
20,77,73
103,67,41
52,92,62
125,77,43
18,10,61
20,26,67
5,82,69
73,80,14
58,86,51
53,80,0
53,24,20
6,63,49
65,82,-1
26,95,25
11,57,47
112,57,12
57,84,32
-7,10,71
79,72,17
13,58,72
17,56,36
34,55,9
43,-14,43
26,40,28
35,30,21
64,59,64
24,54,40
62,48,118
45,73,-2
27,62,8
41,43,49
26,85,26
29,57,38
40,42,14
54,35,24
35,63,12
25,1,75
99,74,26
-6,28,78
101,21,36
6,92,54
113,70,73
76,34,54
17,68,83
25,13,14
6,19,38
36,87,77
3,57,57
18,80,69
65,50,51
29,78,50
54,85,16
51,76,102
51,64,25
126,28,55
25,93,72
22,81,51
35,80,63
41,52,35
22,87,40
32,54,4
41,-2,16
108,60,37
26,70,42
118,140,-38
140,77,34
95,51,84
121,76,35
22,71,30
17,40,38
22,50,31
46,57,73
13,62,57
41,38,44
62,22,28
9,31,32
45,38,43
86,52,61
56,21,29
7,13,25
81,19,56
11,81,68
35,59,35
75,-11,85
15,52,30
3,35,51
56,20,34
82,8,53
